Needs,Feelings,ResponseID,Life_Satisfaction,Plan_graduate_thisyear,Feeling_today,Degree_programm,Faculty
,,1,7,nee,8,masters jaar 1,"electrotechniek, wiskunde & informatica (ewi)"
,,2,,,,,
Relieving Economic Burden for International Students Having A Delay.,"I am anxious, tired and sleep deprived:/",3,2,no,1,masters 2nd year +,"electrical engineering, mathematic, and computer sciences (eemcs)"
"Both students and teachers are demotivated. I notice that many fellow students have forgotten how you invest in relationships that make group work emotionless and without involvement, even if you try to invest yourself",,4,7,nee,6,masters jaar 2 +,"electrotechniek, wiskunde & informatica (ewi)"
,,5,5,nee,7,bachelor jaar 1,technische natuurwetenschappen (tnw)
"The lack of social contacts, I came to live new in Delft myself and I have not been able to meet new people yet. At first everything was online and the online guidance with teachers and fellow students ran out. Now that we can come again a day a week, that is a lot better and I like studying more fun. I do experience more problems with my back and neck due to a poor home workplace, I am also less moving and I notice that I feel less good because of this.",,6,6,nee,7,"anders, namelijk",bouwkunde (bk)
,,7,6,yes,7,masters 2nd year +,civil engineering and geosciences (ceg)
,,8,8,nee,7,masters jaar 2 +,bouwkunde (bk)
"Students could be on BK without a reservation to do group projects, for example. With the eternal zoom you get very tired and it is difficult to work together",,9,6,nee,7,bachelor jaar 2,bouwkunde (bk)
,,10,4,nee,6,bachelor jaar 2,luchtvaart- en ruimtevaarttechniek (lr)
,,11,8,nee,8,bachelor jaar 2,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,12,3,ja,3,masters jaar 2 +,"electrotechniek, wiskunde & informatica (ewi)"
,,13,6,no,5,masters 1st year,civil engineering and geosciences (ceg)
,,14,5,ja,5,bachelor jaar 1,bouwkunde (bk)
,,15,7,nee,7,bachelor jaar 2,luchtvaart- en ruimtevaarttechniek (lr)
"Staring too much at a computer screen, having very little energy, being over stimulated. Not being able to be with too many people in succession, need more rest. have little inspiration and motivation.",,16,6,nee,6,masters jaar 1,industrieel ontwerpen (io)
,,17,5,nee,5,bachelor jaar 1,bouwkunde (bk)
,,18,9,ja,8,masters jaar 2 +,"electrotechniek, wiskunde & informatica (ewi)"
,,19,8,nee,6,masters jaar 1,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,20,1,no,2,masters 2nd year +,applied sciences (as)
On Campus Education. Basically the thing we all paid for and came to the Netherlands. This was the most amount of money that all students have ever spent on pre -prerocorded lectures and zoom (if you were lucky).,,21,3,no,3,masters 1st year,"mechanical, maritime, and material engineering (3me)"
"I had little guidance from the TU when I was diagnosed with a burnout or depression. Especially from BME there has been little attention for the disappearance of me or helping to find a project. I understand that everyone is having a hard time and is busy, but I now have the idea that I have even become a song in a small master.","It goes with ups and downs, but in general things are not going well, but then I am talking about a 4, instead of a 2",22,3,nee,2,masters jaar 2 +,technische natuurwetenschappen (tnw)
"Loneliness, fatigue, socially stimulated. Studying was much more difficult so I didn't show what I can do. I could have achieved higher figures under normal circumstances",,23,5,nee,4,masters jaar 2 +,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,24,,,,,
"Limited study places or the problem that Study & Sleep & Relaxation take place in the same place. Little contact with fellow students with whom I am not super good friends, making creativity and asking questions more difficult",,25,4,nee,6,bachelor jaar 4 +,civiele techniek & geowetenschappen (citg)
,,26,3,nee,3,bachelor jaar 1,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
I would like to do group projects again physically,,27,8,nee,8,masters jaar 1,technische natuurwetenschappen (tnw)
,Feeling inadequate for thesis defense next week.,28,5,yes,4,masters 2nd year +,aerospace engineering (ae)
,,29,7,nee,7,bachelor jaar 3,"electrotechniek, wiskunde & informatica (ewi)"
Proced exams are terrible!,,30,3,nee,5,bachelor jaar 4 +,civiele techniek & geowetenschappen (citg)
,The sun has a positive influence on my condition,31,7,nee,8,masters jaar 1,industrieel ontwerpen (io)
"Concentration of problems during the lessons. More stressful exams, because they were usually planned in weird and non -useful ways, especially at the start of the Corona crisis. The best exams I have had were open book and that you can go back to previous questions you have already answered. Furthermore, the options to ask for help in my idea were less frequent and useful.","I feel fine, but I'm tired and ready for vacation. Thesis is hard work",32,7,nee,6,bachelor jaar 3,"electrotechniek, wiskunde & informatica (ewi)"
,,33,5,ja,5,bachelor jaar 3,bouwkunde (bk)
,,34,,,,,
,,35,2,no,3,bachelor 2nd year,"electrical engineering, mathematic, and computer sciences (eemcs)"
,,36,8,nee,4,masters jaar 2 +,luchtvaart- en ruimtevaarttechniek (lr)
,,37,6,nee,7,bachelor jaar 4 +,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
The Waiting Time for the TU Delft Psychologists should be decreased.,,38,3,yes,4,masters 2nd year +,applied sciences (as)
,,39,5,nee,7,bachelor jaar 3,bouwkunde (bk)
,,40,5,nee,6,bachelor jaar 1,industrieel ontwerpen (io)
"I wish that the lecturers' Quality can be equally good. I felt so disappointed under the tutelage of my previous tutors who failed to comply with their duty in such a prestigious school. And yet, I have no choice but to move on. They have no group regarding my sitation. Instead, push me to continuous on my track without further explanation or clarification. I am Deeply Disappointed.",,41,7,yes,7,masters 2nd year +,architecture and the built environment (a&be)
,,42,7,nee,7,bachelor jaar 3,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
"The design of a home workplace, or the aid, as an announcement in Pulse/ Brightspace. Also ways to stimulate more to continue to develop yourself.","Cake baked, nice weather",43,7,nee,8,bachelor jaar 4 +,"werktuigbouwkunde, maritieme techniek & technische materiaalwetenschappen (3me)"
,,44,5,yes,4,masters 2nd year +,aerospace engineering (ae)
I had it and that has been sitting for a lot of fatigue around the period of one of my mid -terms,,45,8,ja,8,bachelor jaar 1,luchtvaart- en ruimtevaarttechniek (lr)
"Online education is jerk. people don't see is jerk. Sitting behind my monitor 10 hours a day is jerk. Yes I exercise, yes I pay attention to food, but this is just not healthy. I want to be able to move, live. digital = completely cunt.",,46,0,nee,0,bachelor jaar 1,luchtvaart- en ruimtevaarttechniek (lr)
