study_programme,degree_programme,planned_grad_year,today_feeling,physical_health,student_needs,students_sugg_to_improve_wellbeing
"electrical engineering, mathematic, and computer sciences (eemcs)",bachelors,no,3.0,7.0,"sport, physical connection",make bsa not binding.
civil engineering and geosciences (ceg),masters,yes,0.0,4.0,"financial support, any courses that so difficult to deal with is just draining too much energy and the lecturers are not care about it at all",personal care package maybe
civil engineering and geosciences (ceg),masters,no,9.0,8.0,"i think it will be appreciated if the university considers refunding some of the money to international students, since they haven't been offered the experience that they strived for.  try to establish a link between the faculty members with the international students in an effective way.   sadly, i think to some degree the professors are helpful only with international students when they are been recorded, while off hours they are quite helpful with dutch students.","i think offering the international student, first year master students more opportunity to enjoy the campus and their faculty facilities.  looking at your inefficiency in managing the current situation, you will come next year and offer the coming first year masters student, more opportunity to enjoy the campus, while us have to stay more at our rooms."
applied sciences (as),masters,no,5.0,8.0,"a break. constant assignments every week, exams and no pause between semesters, paired with essentially being locked in my room, make it so i did not really have any break, or anything to get my mind of the stress. anything else is secondary, even social aspects.","stop courses from setting hard limits on how many people you are allowed to simply work with on e.g. assignments. it is hard enough to have contact with fellow students as it is, and is harmful to both learning progress and social interactions. i have never experienced something like this before coming here, and i am really perplexed why some professors seem to think this is a good idea."
civil engineering and geosciences (ceg),masters,yes,5.0,5.0,"students which are working on their thesis right now tend to be more isolated than ever. lack of motivation is a standard nowadays. the university should have taken pro active measures from the beginning, not after a year without physical classes. large part of the student body feels neglected by the university, and ignored, to the point that students have lost trust in the institution.",create activities in the open or anything which can help students feel a bit less lost during these times.
"electrical engineering, mathematic, and computer sciences (eemcs)",masters,no,4.0,7.0,lower the workload please. last quarter i actually had a stress twitch for weeks until after exam period and i could finally relax a bit.,reduce the workload
architecture and the built environment (a&be),masters,yes,8.0,8.0,i need to graduate and get some money :),make online events that would bring people together and give them some joy and sense of community.
applied sciences (as),masters,no,3.0,3.0,"i just want to come back to school as soon as possible, the lock-down has been too long.","maybe make some courses easier for students. i know one course that more than 60% students failed, and the average grades is around 4. i can't see the meaning of that, there is no assignments, no course projects or team work, but only one final exam that makes most students doubt themselves."
aerospace engineering (ae),masters,no,4.0,8.0,i just want to graduate and start a normal life without 12h work days 7 days a week. a life where i don't have to bring my work back home.,no
"mechanical, maritime, and material engineering (3me)",masters,no,6.0,7.0,"momi regulation needs to be similar as last year. not because it's long enough it is normal, for one i have never had to take online courses, there was never a lockdown back in taiwan. this is not normal, taking online courses for a whole year is never normal. besides, i thought the school said we could have physical courses at least once a week, that's why i came in the first place. i feeled lied to!","reduce financial costs, reduce momi regulations, provide more psychologists, encourage more social activities (the last one is hard tho i understand)"
"technology, policy, and management (tpm)",masters,no,6.0,6.0,"a student like any customer wants to feel that they are receiving a quality product/service. in terms of education its not only the content that maters but a big part of it is, how it is delivered. right now the tudelft delivery of educational content feels like its an open source library where each teacher does as they please. so there is a need for a standard that is uniform across different courses and that demonstrates the quality of tudelft as an institution.",make studying less frustrating because students have enough frustrations to deal with outside the university.
civil engineering and geosciences (ceg),masters,no,4.0,6.0,"the study load is not proportionate. i would well accept if all the material was relevant, but sometimes it feels like just added material. for example, articles on articles in which to deliver a concept they talk endlessly without getting to the point, not very exciting and not very effective in terms of education.","reduce the unnecessary load of material or improve the quality of it, it is just not engaging and in these conditions is just worse."
civil engineering and geosciences (ceg),masters,no,2.0,4.0,"please just make the on-campus day available again (no problem if it's just once or twice a week), i'm begging you guys, pleaseee!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","yes, ,on-campus day again~!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
